epoch,lr,model_id,pair,saved_at,test_char_acc,test_edit_distance,test_loss,test_mse,test_psnr,test_seq_acc,test_ssim,train_loss,train_mse,train_psnr,train_ssim,training_mode,val_char_acc,val_edit_distance,val_loss,val_mse,val_psnr,val_seq_acc,val_ssim
1,0.001,M3,corrupted_to_normal,2026-05-23 14:56:11,,,0.035798502588272094,0.011174431536595027,19.76085474243164,,0.7537592949231465,0.04641558024202074,0.011578853919250625,19.645596909005302,0.7474646079744611,semi_supervised,,,0.0357643123904864,0.011156902552644411,19.766102037556966,,0.7539259059270222
2,0.001,M3,corrupted_to_normal,2026-05-23 16:45:55,,,0.03440585190852483,0.010487523148457209,20.05497314758301,,0.7608167170842488,0.04272720201356071,0.01082974331506661,19.928390513828823,0.7628961980002267,semi_supervised,,,0.03436507117549578,0.010469718699653944,20.061375257364908,,0.7610464786847433
3,0.001,M3,corrupted_to_normal,2026-05-23 18:34:39,,,0.040967533286412554,0.012277607651551564,19.294076776123045,,0.7131007486025492,0.0403980958546911,0.01068613717683724,19.988864506748744,0.7692578398704529,semi_supervised,,,0.040929159673055014,0.012258737743397554,19.299174118041993,,0.7132957855542501
4,0.001,M3,corrupted_to_normal,2026-05-23 20:24:43,,,0.034809647351503374,0.010482619752486547,20.045721360270182,,0.756729725710551,0.03940342605965478,0.010469209935409682,20.071917126464843,0.7734753654071262,semi_supervised,,,0.03478553271889687,0.010472142951687177,20.050079490152996,,0.756866104666392
5,0.001,M3,corrupted_to_normal,2026-05-23 22:14:29,,,0.045409184340635934,0.013746699878076713,18.767668697102863,,0.683375162410736,0.03424418221882412,0.010052816677519253,20.254887796456472,0.7860228471619742,semi_supervised,,,0.04538067813118299,0.013730112529794376,18.771543290201823,,0.683494351609548
6,0.001,M3,corrupted_to_normal,2026-05-24 00:04:15,,,0.0400438560962677,0.011859621533254783,19.44771876220703,,0.7181576591809591,0.03937220762712615,0.010420469776434557,20.09386562761579,0.774948165839059,semi_supervised,,,0.040031055867671965,0.011854089637597402,19.449673508707683,,0.7182303403536479
7,0.001,M3,corrupted_to_normal,2026-05-24 01:53:53,,,0.0421651384294033,0.012671329272786776,19.146395778401693,,0.7050619115511576,0.0378431345471314,0.01021550709775516,20.17146886945452,0.7799731025695801,semi_supervised,,,0.042149682660897574,0.012660705476005871,19.149005436197918,,0.7051102306365967
8,0.001,M3,corrupted_to_normal,2026-05-24 03:47:49,,,0.044361810785531995,0.013546448300282161,18.83437147318522,,0.691846378326416,0.030547633912307876,0.009570930597611837,20.464350945608956,0.7993928866386414,semi_supervised,,,0.04433900363643964,0.013534312724073728,18.83702743326823,,0.6919530974070232
9,0.001,M3,corrupted_to_normal,2026-05-24 05:39:54,,,0.03980895726283391,0.01200942806651195,19.397432686360677,,0.7220047122955322,0.03369954625793866,0.009797578205593994,20.35818691101074,0.7925779463904244,semi_supervised,,,0.03977594437996546,0.011994175088405609,19.401228357950846,,0.7221823110262553
10,0.001,M3,corrupted_to_normal,2026-05-24 07:35:21,,,0.042029310939709345,0.012634136281410854,19.134761455281577,,0.7060482560475667,0.0296632710984775,0.00932664374006646,20.5694879473005,0.8056053895677839,semi_supervised,,,0.04202895976702372,0.012628341588377952,19.135652095540365,,0.7059938226064046
11,0.001,M3,corrupted_to_normal,2026-05-24 09:37:04,,,0.04456791262427966,0.013474633006751537,18.88557199198405,,0.6890672087987264,0.03914408691866057,0.009988149031783853,20.26423082144601,0.7832142909731183,semi_supervised,,,0.0445727785329024,0.013464816519121329,18.88737677408854,,0.6889203852971395
12,0.001,M3,corrupted_to_normal,2026-05-24 11:37:03,,,0.03502858731746673,0.010445560045043628,20.015578839111328,,0.7541697301546733,0.03580634690693447,0.009897732354700565,20.29915203944615,0.7886913448061262,semi_supervised,,,0.03500384916861852,0.010434399846196174,20.018941221110026,,0.7543055099805196
13,0.001,M3,corrupted_to_normal,2026-05-24 13:29:28,,,0.03287885900735855,0.009958127423127492,20.25232701212565,,0.77079268728892,0.034588573835577285,0.009661135205413614,20.40663257359096,0.7933128345489502,semi_supervised,,,0.03284512561162313,0.009946516221761703,20.25682722269694,,0.771013908958435
