epoch,train_loss,pretrain_loss,finetune_loss,pseudo_label_count,pseudo_label_accept_rate,mean_pseudo_confidence,consistency_loss,encoder_stage,stn_status,stn_regularization_loss,val_loss,val_seq_acc,val_char_acc,val_edit_distance,val_clean_accuracy,val_robustness_drop,val_restoration_gain,val_position_1_acc,val_position_2_acc,val_position_3_acc,val_position_4_acc,val_position_5_acc,test_loss,test_seq_acc,test_char_acc,test_edit_distance,test_clean_accuracy,test_robustness_drop,test_restoration_gain,test_position_1_acc,test_position_2_acc,test_position_3_acc,test_position_4_acc,test_position_5_acc
1,8.127779090474474,,7.975599137516619,14151,0.6738571428571428,0.9994905990186526,0.15217995295785539,consistency,frozen,0.0,105.00703452901638,0.0,0.0278,4.851866666666667,0.0,,,0.0272,0.027,0.026466666666666666,0.029266666666666667,0.029066666666666668,104.95919984858087,0.0,0.02864,4.8488,0.0,,,0.028133333333333333,0.0274,0.029266666666666667,0.028533333333333334,0.029866666666666666
2,5.211175471063776,,5.100451221665265,14595,0.695,0.9936378393282667,0.11072424939851098,consistency,frozen,0.0,83.03561586420587,0.0,0.030733333333333335,4.8422,0.0,,,0.0438,0.028466666666666668,0.0274,0.026266666666666667,0.027733333333333332,82.71573879160779,0.0,0.03016,4.8449333333333335,0.0,,,0.041466666666666666,0.025266666666666666,0.027933333333333334,0.027933333333333334,0.0282
3,1.3025279740137146,,1.1780800413992012,13414,0.6387619047619048,0.9810852140645894,0.12444793261451328,consistency,frozen,0.0,0.9068377575975783,0.7724,0.94832,0.25793333333333335,0.7724,,,0.9641333333333333,0.9382,0.9449333333333333,0.9420666666666667,0.9522666666666667,0.9127754064316446,0.7734666666666666,0.94836,0.25766666666666665,0.7734666666666666,,,0.9649333333333333,0.9362,0.9478,0.942,0.9508666666666666
4,0.5848638654337069,,0.4681426198574333,16797,0.7998571428571428,0.9856383161345514,0.11672124557627371,consistency,frozen,0.0,0.8051168583809061,0.8430666666666666,0.96632,0.16833333333333333,0.8430666666666666,,,0.9702666666666667,0.9617333333333333,0.9656,0.9629333333333333,0.9710666666666666,0.8417295294873258,0.8354,0.96424,0.17866666666666667,0.8354,,,0.9711333333333333,0.9583333333333334,0.9589333333333333,0.9633333333333334,0.9694666666666667
5,0.5126002673641672,,0.4084288511259904,17989,0.8566190476190476,0.9888761307029675,0.10417141623817679,consistency,frozen,0.0,0.8272162928860238,0.8473333333333334,0.9674133333333333,0.16293333333333335,0.8473333333333334,,,0.9706,0.9638,0.9669333333333333,0.9648,0.9709333333333333,0.8582782279937825,0.8411333333333333,0.9656,0.17193333333333333,0.8411333333333333,,,0.971,0.9605333333333334,0.9625333333333334,0.9654,0.9685333333333334
6,0.43285502798582604,,0.3428730743185814,18482,0.880095238095238,0.9909731061050172,0.08998195366724465,consistency,frozen,0.0,1.073768415349595,0.8202666666666667,0.95984,0.19993333333333332,0.8202666666666667,,,0.964,0.9516,0.958,0.959,0.9666,1.099912202104609,0.8173333333333334,0.95848,0.20673333333333332,0.8173333333333334,,,0.9642666666666667,0.948,0.9530666666666666,0.9616666666666667,0.9654
7,0.4042762268752043,,0.3176933606750971,18910,0.9004761904761904,0.9922624242551613,0.0865828662001072,consistency,frozen,0.0,0.7620584756770032,0.8555333333333334,0.96908,0.1546,0.8555333333333334,,,0.9706666666666667,0.9674,0.9694666666666667,0.9663333333333334,0.9715333333333334,0.7712150082943288,0.8489333333333333,0.96768,0.16146666666666668,0.8489333333333333,,,0.9726,0.9658,0.9636666666666667,0.967,0.9693333333333334
8,0.3636038751068104,,0.27929528350346083,18483,0.8801428571428571,0.9924640541487375,0.0843085916033496,consistency,frozen,0.0,0.8678444760276917,0.8509333333333333,0.9681066666666667,0.1594,0.8509333333333333,,,0.9709333333333333,0.9647333333333333,0.9677333333333333,0.9664,0.9707333333333333,0.8947370390942756,0.8456666666666667,0.9666,0.16666666666666666,0.8456666666666667,,,0.9716,0.961,0.9636,0.9676666666666667,0.9691333333333333
9,0.3248980647292442,,0.24707834287388517,19539,0.9304285714285714,0.993965600870473,0.07781972185535906,consistency,frozen,0.0,0.9582771763522574,0.8541333333333333,0.96896,0.15513333333333335,0.8541333333333333,,,0.9712,0.9664,0.9689333333333333,0.9669333333333333,0.9713333333333334,0.996322682626704,0.8504666666666667,0.96788,0.16053333333333333,0.8504666666666667,,,0.9728,0.9641333333333333,0.9649333333333333,0.9678,0.9697333333333333
10,0.3056634151501744,,0.22602914750585745,19321,0.920047619047619,0.9940466605619296,0.07963426764431696,consistency,frozen,0.0,0.8298005324094854,0.8528666666666667,0.9686533333333334,0.15673333333333334,0.8528666666666667,,,0.9703333333333334,0.9659333333333333,0.9684666666666667,0.9672666666666667,0.9712666666666666,0.869876717506571,0.8488666666666667,0.96748,0.1626,0.8488666666666667,,,0.9718666666666667,0.9639333333333333,0.9643333333333334,0.9674,0.9698666666666667
