epoch,train_loss,pretrain_loss,finetune_loss,pseudo_label_count,pseudo_label_accept_rate,mean_pseudo_confidence,consistency_loss,encoder_stage,stn_status,stn_regularization_loss,val_loss,val_seq_acc,val_char_acc,val_edit_distance,val_clean_accuracy,val_robustness_drop,val_restoration_gain,val_position_1_acc,val_position_2_acc,val_position_3_acc,val_position_4_acc,val_position_5_acc,test_loss,test_seq_acc,test_char_acc,test_edit_distance,test_clean_accuracy,test_robustness_drop,test_restoration_gain,test_position_1_acc,test_position_2_acc,test_position_3_acc,test_position_4_acc,test_position_5_acc
1,19.72421082522606,3.1110364128946166,16.613174412331443,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,9.573807464761938,0.006866666666666667,0.40164,2.981333333333333,0.006866666666666667,,,0.5233333333333333,0.30293333333333333,0.28326666666666667,0.31566666666666665,0.583,9.612765360893087,0.0064,0.3997733333333333,2.9910666666666668,0.0064,,,0.5272666666666667,0.3044,0.27353333333333335,0.31533333333333335,0.5783333333333334
2,7.714013291435988,4.843922032734594,2.870091258701394,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,1.075894331678431,0.7382,0.9341866666666667,0.32893333333333336,0.7382,,,0.9544666666666667,0.9212,0.926,0.9223333333333333,0.9469333333333333,1.103533845252179,0.7255333333333334,0.9317333333333333,0.3413333333333333,0.7255333333333334,,,0.956,0.9144,0.9218,0.9246666666666666,0.9418
3,4.572273367930951,3.7933594572478717,0.7789139106830791,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,1.7186707755352588,0.7222,0.92,0.39213333333333333,0.7222,,,0.8985333333333333,0.9058,0.9242666666666667,0.9295333333333333,0.9418666666666666,1.6939766424767515,0.7218,0.9203466666666666,0.39093333333333335,0.7218,,,0.8992666666666667,0.9034,0.9256,0.9348666666666666,0.9386
4,3.8795382423890388,3.37770230504233,0.5018359373467087,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.7157369240801386,0.82,0.9586266666666666,0.20666666666666667,0.82,,,0.9712,0.9507333333333333,0.9462666666666667,0.9536666666666667,0.9712666666666666,0.7168967368754935,0.8148666666666666,0.9578933333333334,0.21013333333333334,0.8148666666666666,,,0.9694666666666667,0.9486666666666667,0.9461333333333334,0.9529333333333333,0.9722666666666666
5,3.7405564450587283,3.3401123821408483,0.40044406291787993,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.3037829248512045,0.9057333333333333,0.9796133333333333,0.1018,0.9057333333333333,,,0.9830666666666666,0.9772666666666666,0.9763333333333334,0.977,0.9844,0.3123871606715182,0.904,0.9796133333333333,0.1018,0.904,,,0.9843333333333333,0.9755333333333334,0.9754,0.9790666666666666,0.9837333333333333
6,3.605720188429148,3.26260313146511,0.34311705696403827,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.2435846854397591,0.9215333333333333,0.9834266666666667,0.08286666666666667,0.9215333333333333,,,0.9881333333333333,0.9807333333333333,0.9798,0.9818666666666667,0.9866,0.24889023681270314,0.9199333333333334,0.98324,0.08366666666666667,0.9199333333333334,,,0.9884666666666667,0.9788,0.9786666666666667,0.9838666666666667,0.9864
7,3.5519014402582996,3.2511929798823607,0.30070846037593896,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.32441540899428917,0.9029333333333334,0.9794,0.103,0.9029333333333334,,,0.9814666666666667,0.9790666666666666,0.978,0.9795333333333334,0.9789333333333333,0.31499099555484794,0.9016666666666666,0.9791866666666666,0.104,0.9016666666666666,,,0.9832666666666666,0.9778666666666667,0.9764666666666667,0.9800666666666666,0.9782666666666666
8,3.5222350036026073,3.2501122862155083,0.27212271738709887,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.2113492654834656,0.9346666666666666,0.98632,0.06833333333333333,0.9346666666666666,,,0.9896,0.9838,0.9846666666666667,0.9854,0.9881333333333333,0.20861258944694666,0.9334,0.98612,0.06933333333333333,0.9334,,,0.9906666666666667,0.9820666666666666,0.9841333333333333,0.9860666666666666,0.9876666666666667
9,3.444236566761106,3.2063323170001152,0.23790424976099098,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.18638921685199789,0.9437333333333333,0.9883733333333333,0.05806666666666667,0.9437333333333333,,,0.9894666666666667,0.9868666666666667,0.987,0.9872666666666666,0.9912666666666666,0.18694545259659595,0.9426,0.98812,0.0594,0.9426,,,0.9906,0.985,0.9871333333333333,0.9873333333333333,0.9905333333333334
10,3.412489062924699,3.1905023888216593,0.22198667410303968,0,0.0,0.0,0.0,contrastive_pretrain_and_finetune,disabled,0.0,0.2242279408459968,0.9368,0.9867333333333334,0.06633333333333333,0.9368,,,0.9892,0.9851333333333333,0.9834,0.9856,0.9903333333333333,0.22812056447121692,0.9366,0.9868266666666666,0.0658,0.9366,,,0.99,0.9834,0.9835333333333334,0.9876666666666667,0.9895333333333334
