epoch,learning_rate,train_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,saved_at
1,0.001,0.9035161184195961,0.12710344121406475,0.12619608902136484,0.8012666666666667,0.9434,0.218,0.8016666666666666,0.94456,0.2186,0.9699333333333333,0.946,0.9511333333333334,0.9283333333333333,0.9216,2026-05-18T11:40:05.796105
2,0.001,0.09767145794002073,0.051159819202125076,0.05097941598581771,0.9208,0.9782533333333333,0.08253333333333333,0.9214,0.9792666666666666,0.08213333333333334,0.9845333333333334,0.9772666666666666,0.9788666666666667,0.9732666666666666,0.9773333333333334,2026-05-18T11:46:44.130972
3,0.001,0.06142432589975319,0.039644452872996526,0.041584711866639555,0.9375333333333333,0.9851466666666666,0.0646,0.9375333333333333,0.98496,0.06513333333333333,0.9892666666666666,0.9844,0.9861333333333333,0.9822,0.9837333333333333,2026-05-18T11:53:14.320627
4,0.001,0.04711144582301245,0.034161646972130984,0.0348576435379684,0.9476,0.9878133333333333,0.054533333333333336,0.9463333333333334,0.9878533333333334,0.05533333333333333,0.9906666666666667,0.9876666666666667,0.9872666666666666,0.9855333333333334,0.9879333333333333,2026-05-18T11:59:44.148903
5,0.001,0.0397591593496568,0.027795813202826928,0.02778556377949814,0.9552,0.98976,0.04593333333333333,0.9555333333333333,0.9894133333333334,0.0466,0.9937333333333334,0.9902666666666666,0.9884,0.9876666666666667,0.9887333333333334,2026-05-18T12:06:16.577806
6,0.001,0.03492746192895408,0.027175623711074393,0.027222250788317373,0.9554,0.9892266666666667,0.045733333333333334,0.9554,0.9894666666666667,0.04593333333333333,0.9907333333333334,0.9908666666666667,0.9896,0.9881333333333333,0.9868,2026-05-18T12:12:51.464716
7,0.001,0.03166347102305652,0.027820514463276293,0.026826170970577125,0.9558666666666666,0.9900266666666667,0.0454,0.9578,0.9899733333333334,0.0438,0.9906666666666667,0.9896,0.9896,0.9896666666666667,0.9906,2026-05-18T12:19:23.709478
8,0.001,0.029257829056405796,0.02463704805611633,0.02419835007636187,0.9608666666666666,0.9910533333333333,0.040266666666666666,0.9595333333333333,0.99024,0.0414,0.9936,0.9908666666666667,0.9903333333333333,0.9904,0.9900666666666667,2026-05-18T12:25:53.712650
9,0.001,0.027303537130199507,0.023196279572253117,0.022135502951832798,0.962,0.99128,0.038933333333333334,0.9630666666666666,0.99176,0.038,0.9932,0.9919333333333333,0.9894,0.9900666666666667,0.9918,2026-05-18T12:32:22.327659
10,0.001,0.02515202728520214,0.020742248653969727,0.02174499666177823,0.9672,0.9927733333333333,0.0338,0.9639333333333333,0.9916933333333333,0.03713333333333333,0.9947333333333334,0.9925333333333334,0.9922666666666666,0.9922666666666666,0.9920666666666667,2026-05-18T12:38:50.058700
