epoch,learning_rate,train_loss,val_loss,test_loss,val_seq_acc,val_char_acc,val_edit_distance,test_seq_acc,test_char_acc,test_edit_distance,position_1_acc,position_2_acc,position_3_acc,position_4_acc,position_5_acc,saved_at
1,0.001,3.716522123123593,3.672495248921712,3.665791271718343,0.0,0.025,4.764333333333333,0.0,0.02524,4.7626,0.04466666666666667,0.0292,0.026466666666666666,0.024666666666666667,0.0,2026-05-20T02:10:51.746721
2,0.001,2.075579732157997,0.4811729573408763,0.4782756968100866,0.5105333333333333,0.84536,0.6365333333333333,0.508,0.8460666666666666,0.6372666666666666,0.9429333333333333,0.8254666666666667,0.8216,0.8039333333333334,0.8328666666666666,2026-05-20T02:17:50.103862
3,0.001,0.3005426186728311,0.17943135514756045,0.1774757511605819,0.7982,0.93156,0.22746666666666668,0.7940666666666667,0.93056,0.23093333333333332,0.9784,0.9379333333333333,0.9137333333333333,0.9097333333333333,0.918,2026-05-20T02:24:41.647670
4,0.001,0.16554228697283252,0.10957161583180229,0.11087907431845864,0.8635333333333334,0.9510133333333334,0.152,0.8634666666666667,0.9512666666666667,0.1504,0.9855333333333334,0.9552666666666667,0.9416,0.938,0.9346666666666666,2026-05-20T02:31:34.141787
5,0.001,0.10739868993952884,0.08706188246582945,0.0819906471627454,0.8886666666666667,0.96164,0.12286666666666667,0.8914666666666666,0.9630266666666667,0.12033333333333333,0.9882666666666666,0.9676,0.9556,0.9411333333333334,0.9556,2026-05-20T02:38:31.678527
6,0.001,0.07929770156701607,0.060476592091967665,0.058749859016761184,0.9156,0.97184,0.09113333333333333,0.9172,0.9725066666666666,0.08913333333333333,0.9892,0.9766666666666667,0.9642,0.9644666666666667,0.9646666666666667,2026-05-20T02:45:34.623854
7,0.001,0.06306519883992659,0.05029263369459659,0.049788476110932726,0.9275333333333333,0.9762666666666666,0.0766,0.9278666666666666,0.97732,0.07586666666666667,0.9916666666666667,0.9782666666666666,0.9715333333333334,0.9687333333333333,0.9711333333333333,2026-05-20T02:52:34.277462
8,0.001,0.05454446894236029,0.04481319547444582,0.04195527705022444,0.9362,0.98044,0.0678,0.9406,0.9823866666666666,0.062266666666666665,0.992,0.9845333333333334,0.9750666666666666,0.975,0.9756,2026-05-20T02:59:29.097598
9,0.001,0.04754090887122511,0.043556638972399135,0.0390064486606357,0.939,0.98156,0.0644,0.9407333333333333,0.9822933333333334,0.061533333333333336,0.9923333333333333,0.9842666666666666,0.9775333333333334,0.9744,0.9792666666666666,2026-05-20T03:06:20.390184
10,0.001,0.04341929065322532,0.041915105601244916,0.04067213715314865,0.9356666666666666,0.9824133333333334,0.0666,0.9370666666666667,0.9825066666666666,0.0658,0.9904666666666667,0.9823333333333333,0.9806666666666667,0.9792666666666666,0.9793333333333333,2026-05-20T03:13:10.989299
