input_type,denoiser,b_model,seq_acc,char_acc,edit_distance
dirty,none,B1_01_supervised_crnn,0.0005,0.1726,4.0029
dirty,none,B1_02_contrastive_crnn,0.0,0.0558,4.6574
dirty,none,B1_03_semi_crnn,0.0003,0.1398,4.1716
dirty,none,B1_04_selfsup_crnn,0.0073,0.275,3.5535
dirty,none,B2_01_supervised_transformer,0.0002,0.0883,6.2748
dirty,none,B2_02_contrastive_transformer,0.0001,0.092,4.3935
dirty,none,B2_03_semi_transformer,0.0001,0.1085,5.3371
dirty,none,B2_04_selfsup_transformer,0.0035,0.1284,3.7401
normal,none,B1_01_supervised_crnn,0.9729,0.9935,0.0277
normal,none,B1_02_contrastive_crnn,0.9785,0.9953,0.0217
normal,none,B1_03_semi_crnn,0.9713,0.9932,0.0293
normal,none,B1_04_selfsup_crnn,0.9741,0.9945,0.0265
normal,none,B2_01_supervised_transformer,0.9828,0.9961,0.0173
normal,none,B2_02_contrastive_transformer,0.9844,0.9965,0.0157
normal,none,B2_03_semi_transformer,0.9785,0.9953,0.0219
normal,none,B2_04_selfsup_transformer,0.9845,0.9966,0.0156
clean,none,B1_01_supervised_crnn,0.0,0.0873,4.7377
clean,none,B1_02_contrastive_crnn,0.0055,0.3188,3.298
clean,none,B1_03_semi_crnn,0.0001,0.1057,4.3815
clean,none,B1_04_selfsup_crnn,0.0033,0.289,3.4811
clean,none,B2_01_supervised_transformer,0.0003,0.1632,4.1466
clean,none,B2_02_contrastive_transformer,0.0005,0.1241,3.9183
clean,none,B2_03_semi_transformer,0.0029,0.2179,3.563
clean,none,B2_04_selfsup_transformer,0.0005,0.1095,3.9044
dirty,M1,B1_01_supervised_crnn,0.5891,0.8479,0.6699
dirty,M1,B1_02_contrastive_crnn,0.5511,0.826,0.7325
dirty,M1,B1_03_semi_crnn,0.4937,0.7959,0.8347
dirty,M1,B1_04_selfsup_crnn,0.7646,0.9393,0.2952
dirty,M1,B2_01_supervised_transformer,0.5968,0.8275,0.597
dirty,M1,B2_02_contrastive_transformer,0.6195,0.8318,0.5559
dirty,M1,B2_03_semi_transformer,0.6137,0.844,0.5513
dirty,M1,B2_04_selfsup_transformer,0.763,0.9222,0.3118
dirty,M2,B1_01_supervised_crnn,0.0004,0.1664,4.0357
dirty,M2,B1_02_contrastive_crnn,0.0,0.0556,4.6575
dirty,M2,B1_03_semi_crnn,0.0004,0.1351,4.2093
dirty,M2,B1_04_selfsup_crnn,0.0095,0.29,3.4733
dirty,M2,B2_01_supervised_transformer,0.0001,0.0934,6.1419
dirty,M2,B2_02_contrastive_transformer,0.0001,0.0932,4.5323
dirty,M2,B2_03_semi_transformer,0.0002,0.1183,4.9619
dirty,M2,B2_04_selfsup_transformer,0.0067,0.1533,3.5293
dirty,M3,B1_01_supervised_crnn,0.3679,0.7519,1.1277
dirty,M3,B1_02_contrastive_crnn,0.237,0.6387,1.6201
dirty,M3,B1_03_semi_crnn,0.3373,0.7229,1.2255
dirty,M3,B1_04_selfsup_crnn,0.5754,0.8735,0.6076
dirty,M3,B2_01_supervised_transformer,0.3246,0.6755,1.2647
dirty,M3,B2_02_contrastive_transformer,0.3599,0.7039,1.1254
dirty,M3,B2_03_semi_transformer,0.3367,0.6919,1.1731
dirty,M3,B2_04_selfsup_transformer,0.5253,0.8061,0.7093
dirty,M4,B1_01_supervised_crnn,0.0008,0.2058,3.8278
dirty,M4,B1_02_contrastive_crnn,0.0,0.0777,4.5351
dirty,M4,B1_03_semi_crnn,0.0007,0.1771,3.9853
dirty,M4,B1_04_selfsup_crnn,0.0015,0.1757,4.0351
dirty,M4,B2_01_supervised_transformer,0.0004,0.1188,5.5881
dirty,M4,B2_02_contrastive_transformer,0.0001,0.1143,4.3343
dirty,M4,B2_03_semi_transformer,0.0005,0.1492,4.5485
dirty,M4,B2_04_selfsup_transformer,0.0015,0.0878,4.0122
normal,M5,B1_01_supervised_crnn,0.0,0.0243,4.9832
normal,M5,B1_02_contrastive_crnn,0.0,0.0462,4.6831
normal,M5,B1_03_semi_crnn,0.0,0.023,4.8403
normal,M5,B1_04_selfsup_crnn,0.0,0.0357,4.762
normal,M5,B2_01_supervised_transformer,0.0,0.0285,4.7945
normal,M5,B2_02_contrastive_transformer,0.0,0.0103,4.8557
normal,M5,B2_03_semi_transformer,0.0,0.0037,4.9461
normal,M5,B2_04_selfsup_transformer,0.0,0.0028,4.9441
normal,M6,B1_01_supervised_crnn,0.9709,0.9927,0.0309
normal,M6,B1_02_contrastive_crnn,0.9755,0.9944,0.0257
normal,M6,B1_03_semi_crnn,0.969,0.9923,0.0332
normal,M6,B1_04_selfsup_crnn,0.9725,0.994,0.0286
normal,M6,B2_01_supervised_transformer,0.9806,0.995,0.0209
normal,M6,B2_02_contrastive_transformer,0.9825,0.9955,0.0185
normal,M6,B2_03_semi_transformer,0.9746,0.994,0.0267
normal,M6,B2_04_selfsup_transformer,0.9801,0.9947,0.0204
normal,M7,B1_01_supervised_crnn,0.0,0.0736,4.5361
normal,M7,B1_02_contrastive_crnn,0.0003,0.1501,4.1437
