epoch,train_loss,pretrain_loss,finetune_loss,pseudo_label_count,pseudo_label_accept_rate,mean_pseudo_confidence,consistency_loss,encoder_stage,stn_status,stn_regularization_loss,val_loss,val_seq_acc,val_char_acc,val_edit_distance,val_clean_accuracy,val_robustness_drop,val_restoration_gain,val_position_1_acc,val_position_2_acc,val_position_3_acc,val_position_4_acc,val_position_5_acc,test_loss,test_seq_acc,test_char_acc,test_edit_distance,test_clean_accuracy,test_robustness_drop,test_restoration_gain,test_position_1_acc,test_position_2_acc,test_position_3_acc,test_position_4_acc,test_position_5_acc
1,9.505920882013386,,9.505920882013386,0,0.0,0.0,0.0,supervised,frozen,0.0,13.097899946115785,0.0204,0.40073333333333333,2.9666,0.0204,,,0.46486666666666665,0.35573333333333335,0.34826666666666667,0.3368,0.498,13.122545137243756,0.0182,0.39936,2.973333333333333,0.0182,,,0.4556,0.36006666666666665,0.3485333333333333,0.33686666666666665,0.49573333333333336
2,1.0969583062216757,,1.0969583062216757,0,0.0,0.0,0.0,supervised,frozen,0.0,2.5925200702780384,0.5324666666666666,0.8464666666666667,0.7672,0.5324666666666666,,,0.8779333333333333,0.8233333333333334,0.8218,0.8408,0.8684666666666667,2.596640652519161,0.5306666666666666,0.8458666666666667,0.7700666666666667,0.5306666666666666,,,0.8764,0.8195333333333333,0.8234,0.8458666666666667,0.8641333333333333
3,0.5506715099898705,,0.5506715099898705,0,0.0,0.0,0.0,supervised,frozen,0.0,5.022157858994047,0.3828666666666667,0.7743466666666666,1.0726,0.3828666666666667,,,0.6877333333333333,0.7162666666666667,0.8142666666666667,0.8046666666666666,0.8488,4.963186827756591,0.38693333333333335,0.7760933333333333,1.0628666666666666,0.38693333333333335,,,0.6994666666666667,0.7226,0.8090666666666667,0.8031333333333334,0.8462
4,0.42105524094079866,,0.42105524094079866,0,0.0,0.0,0.0,supervised,frozen,0.0,0.32933115731861634,0.8981333333333333,0.9783866666666666,0.10806666666666667,0.8981333333333333,,,0.9831333333333333,0.9743333333333334,0.9730666666666666,0.976,0.9854,0.3420022172948061,0.8954666666666666,0.9777066666666666,0.1114,0.8954666666666666,,,0.9837333333333333,0.9719333333333333,0.9724,0.9751333333333333,0.9853333333333333
5,0.3198469752742478,,0.3198469752742478,0,0.0,0.0,0.0,supervised,frozen,0.0,0.39207181044049183,0.8870666666666667,0.9751866666666666,0.12406666666666667,0.8870666666666667,,,0.978,0.9702666666666667,0.9703333333333334,0.9747333333333333,0.9826,0.39422438419976474,0.8832,0.97432,0.12826666666666667,0.8832,,,0.9789333333333333,0.9667333333333333,0.9698,0.9762,0.9799333333333333
6,0.29216794436189586,,0.29216794436189586,0,0.0,0.0,0.0,supervised,frozen,0.0,0.42685834255258914,0.8824666666666666,0.9739466666666666,0.13013333333333332,0.8824666666666666,,,0.9804,0.9693333333333334,0.9694666666666667,0.9718666666666667,0.9786666666666667,0.42800733598612123,0.8753333333333333,0.97268,0.1366,0.8753333333333333,,,0.9801333333333333,0.9674666666666667,0.9656666666666667,0.9744,0.9757333333333333
7,0.26438050333887103,,0.26438050333887103,0,0.0,0.0,0.0,supervised,frozen,0.0,0.35746501929174035,0.8994666666666666,0.9780133333333333,0.10986666666666667,0.8994666666666666,,,0.9791333333333333,0.9772,0.9756,0.9771333333333333,0.981,0.36670265245740696,0.8986666666666666,0.9779866666666667,0.10993333333333333,0.8986666666666666,,,0.9802,0.9740666666666666,0.9756,0.9815333333333334,0.9785333333333334
8,0.23670084208405673,,0.23670084208405673,0,0.0,0.0,0.0,supervised,frozen,0.0,0.8487796768293543,0.8218,0.9548133333333333,0.225,0.8218,,,0.9640666666666666,0.9542666666666667,0.9502666666666667,0.9478,0.9576666666666667,0.8325676791748758,0.8171333333333334,0.95432,0.22813333333333333,0.8171333333333334,,,0.9622,0.9518666666666666,0.95,0.9511333333333334,0.9564
9,0.23479497137019903,,0.23479497137019903,0,0.0,0.0,0.0,supervised,frozen,0.0,3.5079219300868147,0.5986,0.8697466666666667,0.6243333333333333,0.5986,,,0.888,0.8656666666666667,0.8640666666666666,0.837,0.894,3.449656470347259,0.6006666666666667,0.8693866666666666,0.6262666666666666,0.6006666666666667,,,0.8864666666666666,0.8697333333333334,0.8590666666666666,0.8388,0.8928666666666667
10,0.20080462012527506,,0.20080462012527506,0,0.0,0.0,0.0,supervised,frozen,0.0,0.45816825677530243,0.8857333333333334,0.97416,0.1292,0.8857333333333334,,,0.9792,0.9692,0.9708,0.9724666666666667,0.9791333333333333,0.4922995006634017,0.8788666666666667,0.9727466666666666,0.13606666666666667,0.8788666666666667,,,0.9784,0.9665333333333334,0.9680666666666666,0.9738,0.9769333333333333
