group,source_dataset,input_condition,denoiser_id,recognition_model,filename,ground_truth,predicted_text,is_correct,edit_distance,mean_confidence,position_confidences,position_1_correct,position_2_correct,position_3_correct,position_4_correct,position_5_correct
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,98686_4GSBX.png,4GSBX,14LM1,False,5,0.5920004725456238,0.5805|0.7304|0.6121|0.5345|0.5026,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,32385_C8DUS.png,C8DUS,ZMI44,False,5,0.5933950304985046,0.2684|0.7507|0.3763|0.9904|0.5812,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,76796_RP0EB.png,RP0EB,4MV6M,False,5,0.5980223894119263,0.4849|0.9933|0.2970|0.4368|0.7781,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,66594_FBGYU.png,FBGYU,41MDM,False,5,0.600804653763771,0.6465|0.1656|0.5933|0.6153|0.9833,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,47086_T64YB.png,T64YB,I4JJ4,False,5,0.6025320768356324,0.6630|0.9596|0.7265|0.2868|0.3767,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,54792_GR2G0.png,GR2G0,T0YU6,False,5,0.610178393125534,0.6461|0.8223|0.5849|0.3178|0.6798,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,39790_Q1RXP.png,Q1RXP,JIM1S,False,5,0.6136399000883103,0.9996|0.8751|0.5412|0.4383|0.2140,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,15391_0XOHV.png,0XOHV,14I8M,False,5,0.6177973926067353,0.6939|0.7055|0.9945|0.3414|0.3537,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,70198_5QHS0.png,5QHS0,SL18M,False,5,0.617952036857605,0.6451|0.6597|0.2381|0.5523|0.9945,False,False,False,False,False
dirty_denoised,dirty,dirty_M4_denoised,M4,train_009,2292_C6A6Q.png,C6A6Q,ZGMWM,False,5,0.6195220351219177,0.5027|0.5097|0.7730|0.7921|0.5201,False,False,False,False,False
